d,yoyretspend_q4q1,yoyretspend_q4q3,yoyretspend_q2q1
1/27/2021,-.1262275979503168,-.0742785037214149,-.0307985732883583
2/3/2021,-.107982929097527,-.0612152295003512,-.038305083456351
2/10/2021,-.1270829681634091,-.0542280828944517,-.04651135581674
2/17/2021,-.1282484667782453,-.0452823419651625,-.0612006175184804
2/24/2021,-.056689341551134,-.0357203415275409,.0033252368051799
3/3/2021,-.0476373666168574,-.0227144224222252,-.0262015839942943
3/10/2021,-.097356663019413,-.0586630935612011,-.0254984826680479
3/17/2021,-.1663056974875216,-.1100749696218214,-.0298156248887068
3/24/2021,-.2862267674617182,-.1438514404406727,-.1024099974037468
3/31/2021,-.1701108890955184,-.0859865460938357,-.0704687966621694
4/7/2021,-.1516842221149924,-.0702601948971548,-.0641819452655744
4/14/2021,-.1036069758508017,-.0167770796289082,-.075136929879433
4/21/2021,.0654351851643056,.0549427186039695,-.0197030888578639
4/28/2021,-.0134190418229216,.0132726903742617,-.038578807640211
5/5/2021,.000927797065857,.0020775571314378,-.0034742712503543
5/12/2021,.0279057407066299,-.0112090868959808,.007965874008401
5/19/2021,-.0099604718035642,-.0058299718159811,-.0147436070688117
5/26/2021,-.0157703448777945,-.0186030192721168,-.0328693569442868
6/2/2021,.0504294069625859,.0041949168208411,.0301307898077512
6/9/2021,.022573118426042,-.0040198178313423,.0099162899583809
6/16/2021,-.0157749683618251,.0134744989364244,-.0271442422246786
6/23/2021,-.0074741033373555,-.0217888209196435,.0248806822288175
6/30/2021,-.0392872296745149,-.0361635645208407,-.0183673004981799
7/7/2021,-.0067430816611912,-.0381053775886115,.009970677221619
7/14/2021,-.0151312203812487,.0070351449808448,-.0125127328016035
7/21/2021,-.0396579289702823,-.025869160659055,-.013740256261758
7/28/2021,-.0125377570155365,-.0284675909835017,.0255755863401324
8/4/2021,-.0280168404480486,-.0416250290927888,-.0217691042227497
8/11/2021,.0112403188667813,-.0235932931825317,.0304003908282307
8/18/2021,-.0390795310838863,-.0370353213811038,-.01116421625598
8/25/2021,-.0620176424890901,-.0152826917868168,-.0277142653495546
9/1/2021,-.0470077858581148,-.0256822245099277,-.0263084224347883
9/8/2021,-.0197021133008758,-.0328145532935924,.0002480650645225
9/15/2021,-.0148862963588718,-.0223056604866214,.0081925170253536
9/22/2021,-.0540844716941637,-.0610408020190583,.005954782881872
9/29/2021,-.0188662847692642,-.0262275376448327,.0054926807761877
10/6/2021,-.0376510067778151,-.040302037751267,.0046410712085776
10/13/2021,-.0347292119089895,-.0133135216079219,-.023815156646176
10/20/2021,-.0606270817981911,-.0203313417875574,-.0247017684442863
10/27/2021,-.0547509729675856,-.0343125585431666,-.0089266739999773
11/3/2021,-.0451896611846673,-.0210254469970148,-.0228990580885015
11/10/2021,-.0461452124295254,-.002128349797718,-.0397428262867551
11/17/2021,-.0520150567211546,-.0081843833542405,-.0399823022362117
11/24/2021,-.0522077072061352,-.0308167204686556,-.0275924606893216
12/1/2021,-.0440694727822534,-.0263667983274309,-.0162103471284875
12/8/2021,-.0160069341254681,-.0466126930160025,.0270737259020497
12/15/2021,-.016405686158646,-.012076907301907,.0147075932477287
12/22/2021,-.0441755232222493,-.0258566549600238,-.0259270175131896
12/29/2021,-.026302319201984,-.0084580240448435,-.0151324910594978
1/5/2022,.0710613603811032,.0449847797227596,-.0039124847364634
1/12/2022,.0684578935105926,.0715892031132559,-.0033003708374333
1/19/2022,.0037020336022622,.0315660261497035,-.0309646197394366
1/26/2022,-.0099204106511041,.0034214769314675,-.0182159057280759
2/2/2022,.030035745331376,.0268042273179177,.0131318866651029
2/9/2022,-.0090815985906102,-.0306372362188762,.0289632570864278
2/16/2022,-.0487252270394538,-.0156457915143541,-.041610215868803
2/23/2022,-.0018065384114603,-.0064896023345778,.0009603664028648
3/2/2022,-.0331781569787861,.0026129042708178,-.0482826166141963
3/9/2022,.0045828929432963,-.0073032403137118,.0011032066299463
3/16/2022,.0435414490646582,.0688927943317803,-.0544828338871726
3/23/2022,.227236294153162,.1127541614579834,.0583932990811411
3/30/2022,.109980701327635,.0761060684830304,.0182641272944783
4/6/2022,.0621740811104086,.0252059097467638,.0138262925773289
4/13/2022,.0992975226266797,.0521558084893015,.0281682301385633
4/20/2022,.0734462825336777,.0147148828019881,.0275822674745971
4/27/2022,.0193024400101918,.0058820142104801,-.0002644701097105
5/4/2022,.0313881269266183,-.0248574823372171,.0223607351752624
5/11/2022,-.0154081205908346,.0101508798600924,-.0248098482221106
5/18/2022,.0234719217024322,.00603873262079,.0204064621400781
5/25/2022,.0183796591702123,.0152251569882396,.0228448092746993
6/1/2022,-.0008152297721679,.0004835852166478,-.0216941833413992
6/8/2022,.0047538414070838,-.0058749717744025,.0045051159321166
6/15/2022,.0110422946866939,.0029410278495827,.0063944714871738
6/22/2022,.0086443827084572,.0049963537025428,-.0046966844672283
6/29/2022,.0409254515047723,.0167448518965423,.0181033706626132
