d,yoy2019retspend1,yoy2019retspend2,yoy2019retspend3,yoy2019retspend4
5/12/2021,.3055188854563193,.2398372152144495,.2019304911204287,.0911245059044039
5/19/2021,.3077400053623929,.2271677047646332,.1692420492076498,.0581956653060944
5/26/2021,.3069045143992815,.1661268316671118,.1217716872556616,.0073472374447412
6/2/2021,.3345848328737282,.2700222448702236,.236958269074506,.1343031929235101
6/9/2021,.3325981645676035,.2664677510555458,.2131586716976319,.0945799241428937
6/16/2021,.3237723279259039,.1767825964745844,.1280863748352037,.0445232418177315
6/23/2021,.4220941970091825,.3725935822821305,.2775221621990807,.1579393910333258
6/30/2021,.1932735353762425,.0809993822807553,.0410570854272472,-.0378311808591772
7/7/2021,.4022248488425215,.351315255465344,.2890688857810462,.1433829818175589
7/14/2021,.2604351746791462,.1573181641134036,.0993604017005345,.0276038208621348
