d,yoyspend_q4q1,yoyspend_q4q3,yoyspend_q2q1
3/23/2022,.161209695034809,.0847222476737572,.0397293743670197
3/30/2022,.0830836527883292,.0512929466134351,.024119337843485
4/6/2022,.0182450062267028,.0217592023446431,-.0066762414607459
4/13/2022,.0461026831680971,.0324366274165513,.007350990922673
4/20/2022,.0450201616972585,.0052515267567133,.0145246899244669
4/27/2022,.0031215053511948,-.0076139879589042,.0077702842336205
5/4/2022,.0000996475827351,-.0085155651506849,-.0044589777159244
5/11/2022,-.0077728848440166,.0086867431348303,-.015680987254055
5/18/2022,.0220421694788555,.0048227915458778,.0271608043413796
5/25/2022,.0129475009993587,-.0006763512561152,.0229934184481384
6/1/2022,-.0087134375891162,-.0009653661792972,-.0258273386735769
6/8/2022,.0096063743635764,-.0135235177378232,.0231739684517642
6/15/2022,.0024984135036283,.011304010439436,-.005724880825733
6/22/2022,.0122263868177763,-.0102996442854181,.0127416884693492
6/29/2022,.0007646303244269,.0083021723531658,-.0000755305368978
