d,spend_q4q1,spend_q4q3,spend_q2q1
9/22/2021,2.186994012329616,1.328069344651906,1.259381472676066
9/29/2021,2.212896898384279,1.376550369992054,1.242020791224073
10/6/2021,2.149727677515159,1.310451045719421,1.27485881670564
10/13/2021,2.24756670602133,1.371985867727656,1.252040515449467
10/20/2021,2.213847250182211,1.333630253987771,1.282980120694995
10/27/2021,2.248207203411695,1.37943212524268,1.263749473700959
11/3/2021,2.151696238700787,1.322734049257015,1.267175981779197
11/10/2021,2.253736686198495,1.392096604673335,1.252310270303715
11/17/2021,2.254928089064935,1.347053554193251,1.278895870562583
11/24/2021,2.294892357196129,1.377472776372539,1.273544598557677
12/1/2021,2.286368380403744,1.361892479607961,1.281726498411468
12/8/2021,2.275338238749353,1.377291925370224,1.266002154432648
12/15/2021,2.345167053294346,1.408917240152996,1.27929018504874
