d,yoyretspend1,yoyretspend2,yoyretspend3,yoyretspend4
5/12/2021,.1848850137661815,.1943236585002854,.2317569787369049,.2179501077275121
5/19/2021,.145384791107352,.1284976878046722,.1406260358327753,.133976218191296
5/26/2021,.1138226530571835,.0772120187012142,.1170375568841662,.0962572856857717
6/2/2021,.1776375767453244,.2131207270399471,.2318576011853546,.237025141357448
6/9/2021,.0993378919191057,.1102392452176106,.128690506568,.1241533763436311
6/16/2021,.1098293385229794,.0797038621300568,.0777990141508984,.0923218158207539
6/23/2021,.1349026934861988,.1631398467634579,.1515103666431403,.1264203134772399
6/30/2021,.1065130004601604,.0861893436755661,.1029269396158154,.0630411700732456
7/7/2021,.1270816217573405,.138319388810302,.1638297920166736,.119481618343003
7/14/2021,.0912542362993554,.0775996636219238,.0672340814663241,.0747422279579386
