d,yoyspend1,yoyspend2,yoyspend3,yoyspend4
5/12/2021,.1471325216617285,.1616919484423587,.1595779897965053,.1537384767598657
5/19/2021,.1296565362793594,.098575175975866,.0997875661220218,.0990461903388138
5/26/2021,.1286993299950798,.1110566069421517,.1077846992194171,.0938320408781474
6/2/2021,.1321910602165168,.1521295441814137,.1407401245713524,.1647860150057245
6/9/2021,.1257001508807152,.1344645831937465,.1359576824206092,.125550086718444
6/16/2021,.1128048646097328,.1089914640381118,.0905590199799633,.1012018073693268
6/23/2021,.1666195115864071,.1925946127748679,.1691150660710645,.1463285455904642
6/30/2021,.1050391027447268,.0852419753573206,.0786783347128686,.0714363917222638
7/7/2021,.1427670537745933,.1694076618600886,.1624532135217467,.1281271426161714
7/14/2021,.1113770689154476,.0917449860707737,.0826678337445701,.0908049355516234
7/21/2021,.189640034328042,.17361277553205,.1529674510719734,.1298852338423349
