d,spend1,spend2,spend3,spend4
11/4/2020,387.97301571061,494.5046517049497,642.6169473037354,857.4764675779147
11/11/2020,342.6102649019735,435.5542108768886,571.4065052606314,797.815216621107
11/18/2020,363.929485774639,477.9882262044418,632.626320134289,863.6821363860028
11/25/2020,372.7149463330926,477.7602724520271,635.0988437696689,905.982917714593
12/2/2020,398.3324591722217,513.7415754834785,679.7659397200372,946.1350096227384
12/9/2020,408.602570928774,510.4073663475039,672.6848934983976,971.0805262711827
12/16/2020,405.989273813455,513.8453711160736,687.3920312040977,988.4348413613976
12/23/2020,430.2087165489468,552.9857087007539,730.0695802583864,1040.375456506287
12/30/2020,328.3897483002195,412.3513080270968,537.5517200024025,748.4068532804797
1/6/2021,415.6517094857751,535.0587575975455,675.3826902371038,872.8162256697635
1/13/2021,369.8389619776902,454.2351015403254,582.7296405383569,768.0137343083625
1/20/2021,356.9854972605459,458.6306151080478,596.5938565690461,793.7587231273893
1/27/2021,337.6224896692853,416.6970399273384,539.7215730044084,744.3536054401214
2/3/2021,378.5551521552605,473.6551233395165,612.3420767063371,810.0408791142689
2/10/2021,352.7502772460252,437.1504890814847,565.5894307424859,780.3733713504679
2/17/2021,340.0677005082844,435.4296228285959,568.8656794460601,766.9760862766552
2/24/2021,340.0303592976435,431.9667532452813,550.8449910674175,742.0897243849072
3/3/2021,423.1549784804278,535.0734922983781,680.8127741974156,876.6004293056321
3/10/2021,398.4631412634519,493.0118572455843,617.7171117172754,825.2313657736397
3/17/2021,419.9748296257183,532.5589244597521,681.2079222145591,861.983738354285
3/24/2021,490.2186943032547,588.8687887446542,724.7773159977202,885.4174097320955
3/31/2021,433.8843870882588,530.8801522537184,661.2113201942391,850.5748159103359
4/7/2021,453.2568833586376,569.0535866101508,719.6394635352672,918.1032714598127
4/14/2021,410.9210736682316,497.2789346024327,634.0203818830317,836.4908527337378
4/21/2021,408.5951763152689,514.1186195360111,653.8303065855295,861.0918035538602
4/28/2021,376.2829933328941,463.9510836771007,590.6984451005653,801.2799410060106
5/5/2021,442.4956719915552,558.579338871441,706.4285363748089,935.1659813285927
5/12/2021,398.3152524919139,492.2991195927819,637.8159851922881,862.2121212411112
5/19/2021,399.0090681893193,494.9936202929274,644.5348451785051,857.5254864680199
5/26/2021,385.1378520694451,469.442563259283,612.4463998381316,842.8076560142174
6/2/2021,430.8821532774465,550.4814558907035,704.3516287581266,952.2403229907104
6/9/2021,399.8022089906941,492.2405377890495,638.0837037858533,876.1231918808109
6/16/2021,391.266079741239,493.7003278961522,642.7158246155758,879.4933971295696
6/23/2021,403.0919897683024,501.1100186579904,648.4413370402638,890.4457581738758
6/30/2021,392.074361938082,482.8169335805925,627.3247242588687,862.0935810552188
7/7/2021,421.0242315004324,536.6317167619102,692.5880312041003,928.8373006560945
7/14/2021,378.7793180407954,464.2245472505011,605.0757288150879,845.8318786462073
