d,yoy2019spend_q4q1,yoy2019spend_q2q1,yoy2019spend_q4q3
11/10/2021,-.1411503865575067,-.0310390362613585,-.0535408963378841
11/17/2021,-.1453080101654908,-.0593599667789239,-.0624693360730646
11/24/2021,-.1590682441820648,-.0492778681835474,-.0601950171353555
12/1/2021,-.1435926960547401,-.0788034474768936,-.0439147865902099
12/8/2021,-.1588306360936093,-.015845064554084,-.0928682095740971
12/15/2021,-.1660411360641817,-.0702044433933057,-.0414087468035579
12/22/2021,-.1568846219411191,-.0364146154342871,-.0895715142907005
12/29/2021,-.161157569937487,-.0852397250666758,-.039959497556648
1/5/2022,-.1030332042686075,.0025320569735294,-.0761852718385783
1/12/2022,-.0963284781815361,-.0332766689920225,-.0465525716730577
1/19/2022,-.1087588371914083,-.0220608740983124,-.0612705266257695
1/26/2022,-.1008381910912785,-.0249724994101342,-.0575873716223911
2/2/2022,-.0839614134046517,-.0379239654756763,-.0300016745049924
2/9/2022,-.1108871312746685,-.029510455717683,-.0539958187117092
2/16/2022,-.1391023013437361,-.0757824009488627,-.0370530404709243
2/23/2022,-.0521414235986984,-.0057943700243772,-.0277291017451758
3/2/2022,-.0467499466049198,-.038737615586745,.0008427744322539
3/9/2022,-.1306031169782865,-.0487393566975612,-.0496664904154656
3/16/2022,-.1320190454734309,-.0639335574366965,-.0231035280112504
3/23/2022,-.1350305340822432,-.0241262590306748,-.0686316451111458
3/30/2022,-.0973550919054661,-.0389256450303237,-.0164388546461776
4/6/2022,-.1543846357024866,-.0264639843195962,-.0832043285027797
4/13/2022,-.1518764733230306,-.0818080753914041,-.0280231924293697
4/20/2022,-.1352873023769909,-.0254288380679834,-.0851130686045927
4/27/2022,-.1280029525438053,-.0505476419719253,-.0428940619886248
5/4/2022,-.140933753424451,-.0327369171663849,-.0749043657816194
5/11/2022,-.1459106375183578,-.0625327847683482,-.0475036863242069
5/18/2022,-.1453546504385925,-.0357458033563641,-.0675380608846884
5/25/2022,-.1737318418383766,-.0571581962670736,-.070782752355201
6/1/2022,-.1367412316856133,-.0837447513023496,-.0542622775155491
6/8/2022,-.1529978154151147,-.025036430240474,-.0800452963912722
6/15/2022,-.1613193543269511,-.0903196314723123,-.0386956349440849
6/22/2022,-.1570027475242712,-.037479176575844,-.0819687837758422
6/29/2022,-.1462590812958257,-.0849323891457592,-.0243869358972528
